Domain,Cloudflare (UDP),Cloudflare (DoH),Cloudflare (DoT),Quad9 Malware (UDP),Quad9 Malware (DoH),Quad9 Malware (DoT),ControlD Malware (UDP),ControlD Malware (DoH),ControlD Malware (DoT),ControlD Ads & Tracking (UDP),ControlD Ads & Tracking (DoH),ControlD Ads & Tracking (DoT),ControlD Family (UDP),ControlD Family (DoH),ControlD Family (DoT),Dns0 Zero (UDP),Dns0 Zero (DoH),Dns0 Zero (DoT),Dns0 Kids (UDP),Dns0 Kids (DoH),Dns0 Kids (DoT)
adgrx.com,23.636,100.713,78.611,21.974,75.583,76.245,24.304,82.748,77.57,22.798,88.684,88.625,17.583,89.59,89.581,24.082,110.795,110.471,16.768,94.896,94.865
adgrx.com,9.424,9.299,45.398,14.695,12.714,102.994,14.75,15.804,70.004,14.274,12.362,86.884,14.706,15.763,77.876,23.608,15.257,94.244,16.942,18.72,84.676
adgrx.com,10.48,10.224,60.157,14.427,14.134,79.061,16.333,13.781,97.397,16.545,16.264,90.205,15.898,15.78,82.519,12.644,16.573,88.164,17.108,16.196,81.279
adgrx.com,10.794,10.567,77.046,14.574,12.443,97.725,18.232,17.892,80.64,14.788,14.528,80.008,15.688,13.477,86.932,13.822,53.187,127.263,14.119,15.908,103.756
adgrx.com,10.346,9.977,63.014,19.165,17.787,71.613,21.252,20.665,102.14,15.854,15.685,71.506,15.211,15.989,84.414,17.943,19.42,78.481,17.722,17.52,113.442
adgrx.com,9.539,8.024,54.576,35.18,15.462,88.84,13.547,13.293,75.03,12.666,11.236,64.617,13.856,11.822,75.209,18.762,18.755,79.985,15.008,15.032,80.507
adgrx.com,12.283,8.694,50.393,13.566,12.168,82.291,15.029,14.53,81.856,22.208,11.855,85.71,13.838,11.927,76.563,13.613,13.598,102.958,13.458,13.424,69.437
adgrx.com,9.273,7.728,65.311,12.851,11.288,76.316,14.202,12.65,96.934,14.286,12.252,93.996,16.019,12.588,91.591,11.935,14.493,83.542,12.679,15.03,102.019
adgrx.com,9.314,7.126,49.602,15.597,9.989,78.005,16.039,11.787,94.126,13.515,13.208,98.657,14.334,12.784,65.262,12.853,15.224,99.459,12.978,15.012,105.145
adgrx.com,8.545,8.456,46.893,12.7,10.971,95.646,14.228,12.296,92.287,14.353,12.659,72.236,15.071,12.312,72.113,12.798,14.748,83.172,12.86,15.32,91.891
rainberrytv.com,20.19,18.893,78.269,22.981,13.085,66.241,17.357,15.617,92.379,14.268,14.085,79.938,26,24.181,84.377,42.579,34.696,78.204,13.213,297.388,406.154
rainberrytv.com,11.797,6.83,67.412,27.232,11.216,102.388,12.929,12.447,90.376,16.838,15.413,94.015,15.73,13.474,103.368,15.636,304.852,415.835,12.92,14.268,111.779
